,movie,year,imdb,metascore,votes,n_imdb
2775,Whiskey Tango Foxtrot,2016,6.6,57,43366,66.0
2776,Ice Age: Collision Course,2016,5.7,34,43283,57.0
2777,Miss Sloane,2016,7.5,64,42947,75.0
2778,Live by Night,2016,6.4,49,42607,64.0
2779,Pride and Prejudice and Zombies,2016,5.8,45,42032,58.0
2780,The Fundamentals of Caring,2016,7.3,55,41497,73.0
2781,Ouija: Origin of Evil,2016,6.1,65,41404,61.0
2782,Raw,2016,7.0,81,40777,70.0
2783,Popstar: Never Stop Never Stopping,2016,6.7,68,40761,67.0
2784,Florence Foster Jenkins,2016,6.9,71,40550,69.0
2785,The Girl with All the Gifts,2016,6.7,67,40426,67.0
2786,Masterminds,2016,5.8,47,40210,58.0
2787,The Light Between Oceans,2016,7.2,60,40169,72.0
2788,Free State of Jones,2016,6.9,53,39245,69.0
2789,"I, Daniel Blake",2016,7.9,78,38531,79.0
2790,Keanu,2016,6.3,63,38476,63.0
2791,The Salesman,2016,7.8,85,35525,78.0
2792,Ben-Hur,2016,5.7,38,35180,57.0
2793,The Boss,2016,5.4,40,35069,54.0
2794,Toni Erdmann,2016,7.4,93,34540,74.0
2795,Imperium,2016,6.5,68,34530,65.0
2796,Anthropoid,2016,7.2,59,34068,72.0
2797,The Forest,2016,4.8,34,33849,48.0
2798,Blair Witch,2016,5.0,47,33451,50.0
2799,The Belko Experiment,2016,6.1,44,33080,61.0
2800,Meet the Blacks,2016,6.2,26,32889,62.0
2801,A Hologram for the King,2016,6.1,58,32593,61.0
2802,Morgan,2016,5.8,48,32143,58.0
2803,Free Fire,2016,6.4,63,31365,64.0
2804,The Do-Over,2016,5.7,22,29807,57.0
2805,The Wailing,2016,7.4,81,28600,74.0
2806,Race,2016,7.1,56,28513,71.0
2807,Before I Wake,2016,6.2,68,27902,62.0
2808,The Take,2016,6.3,48,27631,63.0
2809,American Honey,2016,7.0,79,27623,70.0
2810,Logan,2017,8.1,77,491599,81.0
2811,Wonder Woman,2017,7.5,76,421415,75.0
2812,Dunkirk,2017,8.0,94,400828,80.0
2813,Star Wars: The Last Jedi,2017,7.3,85,395799,73.0
2814,Guardians of the Galaxy Vol. 2,2017,7.7,67,391890,77.0
2815,Thor: Ragnarok,2017,7.9,74,354789,79.0
2816,Spider-Man: Homecoming,2017,7.5,73,337955,75.0
2817,Get Out,2017,7.7,84,315181,77.0
2818,Blade Runner 2049,2017,8.1,81,309026,81.0
2819,Baby Driver,2017,7.7,86,307586,77.0
2820,It,2017,7.4,69,285026,74.0
2821,Justice League,2017,6.6,45,262060,66.0
2822,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,251259,82.0
2823,John Wick: Chapter 2,2017,7.5,75,234043,75.0
2824,The Shape of Water,2017,7.4,87,228364,74.0
2825,Beauty and the Beast,2017,7.2,65,210127,72.0
2826,Kong: Skull Island,2017,6.7,62,209513,67.0
2827,Alien: Covenant,2017,6.4,65,202814,64.0
2828,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,199211,66.0
2829,Coco,2017,8.5,81,192677,85.0
2830,Kingsman: The Golden Circle,2017,6.8,44,186961,68.0
2831,Jumanji: Welcome to the Jungle,2017,7.0,58,178529,70.0
2832,War for the Planet of the Apes,2017,7.5,82,176731,75.0
2833,The Fate of the Furious,2017,6.7,56,163062,67.0
2834,Life,2017,6.6,54,159947,66.0
2835,Ghost in the Shell,2017,6.4,52,155326,64.0
2836,King Arthur: Legend of the Sword,2017,6.8,41,150933,68.0
2837,Murder on the Orient Express,2017,6.5,52,143088,65.0
2838,The Greatest Showman,2017,7.7,48,136786,77.0
2839,The Hitman's Bodyguard,2017,6.9,47,136070,69.0
2840,The Mummy,2017,5.5,34,135452,55.0
2841,Lady Bird,2017,7.5,94,132680,75.0
2842,Wind River,2017,7.8,73,130398,78.0
2843,Bright,2017,6.4,29,129627,64.0
2844,Atomic Blonde,2017,6.7,63,127694,67.0
2845,Mother!,2017,6.7,75,123387,67.0
2846,Valerian and the City of a Thousand Planets,2017,6.5,51,120388,65.0
2847,Call Me by Your Name,2017,8.0,93,113467,80.0
2848,Baywatch,2017,5.6,37,109333,56.0
2849,American Made,2017,7.2,65,105198,72.0
2850,Darkest Hour,2017,7.4,75,103671,74.0
2851,Transformers: The Last Knight,2017,5.2,27,101623,52.0
2852,The Lego Batman Movie,2017,7.3,75,101552,73.0
2853,"I, Tonya",2017,7.5,77,97763,75.0
2854,The Dark Tower,2017,5.7,34,92566,57.0
2855,The Big Sick,2017,7.6,86,88654,76.0
2856,Logan Lucky,2017,7.1,78,86420,71.0
2857,The Disaster Artist,2017,7.5,76,85683,75.0
2858,Power Rangers,2017,6.0,44,83422,60.0
2859,T2 Trainspotting,2017,7.2,67,83089,72.0
2860,The Boss Baby,2017,6.3,50,80790,63.0
2861,Wonder,2017,8.0,66,80247,80.0
2862,The Post,2017,7.2,83,78691,72.0
2863,Despicable Me 3,2017,6.3,49,76152,63.0
2864,Fifty Shades Darker,2017,4.6,33,73039,46.0
2865,Annabelle: Creation,2017,6.6,62,72419,66.0
2866,Molly's Game,2017,7.5,71,71340,75.0
2867,xXx: Return of Xander Cage,2017,5.2,42,70491,52.0
2868,Gifted,2017,7.6,60,69378,76.0
2869,What Happened to Monday,2017,6.9,47,67020,69.0
2870,The Foreigner,2017,7.0,55,66692,70.0
2871,The Killing of a Sacred Deer,2017,7.1,73,64811,71.0
2872,The Circle,2017,5.3,43,62932,53.0
2873,Phantom Thread,2017,7.6,90,62962,76.0
2874,Geostorm,2017,5.3,21,61455,53.0
2875,Okja,2017,7.4,75,61183,74.0
2876,Death Note,2017,4.6,43,58926,46.0
2877,It Comes at Night,2017,6.2,78,58053,62.0
2878,Happy Death Day,2017,6.5,57,57994,65.0
2879,Going in Style,2017,6.6,50,57579,66.0
2880,The Florida Project,2017,7.6,92,53289,76.0
2881,Downsizing,2017,5.7,63,52621,57.0
2882,Shot Caller,2017,7.3,59,47373,73.0
2883,Cars 3,2017,6.8,59,47311,68.0
2884,Gerald's Game,2017,6.7,77,47160,67.0
2885,American Assassin,2017,6.2,45,46063,62.0
2886,A Dog's Purpose,2017,7.0,43,45426,70.0
2887,Jigsaw,2017,5.8,39,45162,58.0
2888,The Mountain Between Us,2017,6.4,48,43781,64.0
2889,All the Money in the World,2017,6.9,72,42087,69.0
2890,Good Time,2017,7.3,80,40501,73.0
2891,The Emoji Movie,2017,3.1,12,40470,31.0
2892,The Death of Stalin,2017,7.2,88,39565,72.0
2893,The Snowman,2017,5.1,23,37094,51.0
2894,A Ghost Story,2017,6.9,84,36912,69.0
2895,The Ritual,2017,6.3,57,36369,63.0
2896,The Beguiled,2017,6.3,77,36076,63.0
2897,You Were Never Really Here,2017,6.9,84,35539,69.0
2898,The Space Between Us,2017,6.4,33,35196,64.0
2899,Brawl in Cell Block 99,2017,7.1,79,34102,71.0
2900,Daddy's Home 2,2017,6.0,30,34102,60.0
2901,The Square,2017,7.3,73,33800,73.0
2902,Rough Night,2017,5.2,51,33343,52.0
2903,Detroit,2017,7.4,77,32889,74.0
2904,Battle of the Sexes,2017,6.7,73,32734,67.0
2905,Before I Fall,2017,6.4,58,32565,64.0
2906,47 Metres Down,2017,5.7,52,32266,57.0
2907,Pitch Perfect 3,2017,5.9,40,32049,59.0
2908,CHIPS,2017,6.0,28,31092,60.0
2909,Hostiles,2017,7.2,65,30977,72.0
2910,Only the Brave,2017,7.7,72,30677,77.0
2911,Paddington 2,2017,7.9,88,30630,79.0
2912,I Don't Feel at Home in This World Anymore.,2017,7.0,75,30383,70.0
2913,Rings,2017,4.5,25,30236,45.0
2914,Fist Fight,2017,5.6,37,30213,56.0
2915,War Machine,2017,6.0,56,30093,60.0
2916,Loving Vincent,2017,7.9,62,29174,79.0
2917,Ferdinand,2017,6.7,58,28749,67.0
2918,Jungle,2017,6.7,48,28573,67.0
2919,To the Bone,2017,6.9,64,26922,69.0
2920,Mudbound,2017,7.4,85,26869,74.0
2921,Flatliners,2017,5.2,27,26526,52.0
2922,Snatched,2017,4.4,45,26455,44.0
2923,The Zookeeper's Wife,2017,7.0,57,26349,70.0
2924,The House,2017,5.6,30,26157,56.0
2925,1922,2017,6.3,70,26092,63.0
2926,Stronger,2017,7.0,76,24898,70.0
2927,Kidnap,2017,5.9,44,24877,59.0
2928,The Meyerowitz Stories (New and Selected),2017,7.0,79,24338,70.0
2929,Girls Trip,2017,6.2,71,24336,62.0
2930,A Bad Moms Christmas,2017,5.5,42,23771,55.0
2931,Suburbicon,2017,5.6,42,22772,56.0
2932,The Shack,2017,6.3,32,22384,63.0
2933,Sleepless,2017,5.6,34,22368,56.0
2934,Icarus,2017,7.9,68,21936,79.0
2935,Ingrid Goes West,2017,6.7,71,21292,67.0
2936,The Discovery,2017,6.3,54,21178,63.0
2937,The Ottoman Lieutenant,2017,6.8,26,21051,68.0
2938,"Everything, Everything",2017,6.4,52,20582,64.0
2939,Victoria & Abdul,2017,6.8,58,19389,68.0
2940,Captain Underpants: The First Epic Movie,2017,6.2,69,19015,62.0
2941,Unlocked,2017,6.2,46,18807,62.0
2942,Table 19,2017,5.8,40,18617,58.0
2943,Loveless,2017,7.7,86,17893,77.0
2944,The Wall,2017,6.2,57,17375,62.0
2945,Home Again,2017,5.7,41,16684,57.0
2946,The Glass Castle,2017,7.2,56,16628,72.0
2947,"Roman J. Israel, Esq.",2017,6.4,58,16356,64.0
2948,All Eyez on Me,2017,5.8,38,16014,58.0
